format	definitions	instances	example
MessageML	2	6	https://raw.githubusercontent.com/symphonyoss/symphony-java-client/master/symphony-apis/agent/api/src/main/resources/agentAPI.yaml
ObjectId	2	38	https://raw.githubusercontent.com/TimeZynk/timezynk-api-spec/master/spec/swagger.yaml
OperationStatus	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Search.json
Single element in set {0-15% ; 15-35% ; 35-60% ; >...	2	21	https://raw.githubusercontent.com/LandPotential/LandPKS_API_System/master/LandPKS_API_System.yaml
TBD	2	3	https://raw.githubusercontent.com/KaloNikolov/node-js-to-azure-deployment/master/api/swagger.yaml
The string 'Bearer ' followed by the token.	2	2	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_primitives.yaml
Timespan	2	2	https://raw.githubusercontent.com/Microsoft/mobile-center-cli/master/swagger/bifrost.swagger.before.json
Two Letters ISO (de,en)	2	2	https://api.swaggerhub.com/apis/dolice/SitecoreNotifications/1.0.0
UTF-8	2	48	https://raw.githubusercontent.com/mg4tv/API-spec/master/swagger.yaml
UiT	2	3	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
VersionControlRecursionType	2	8	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Tfvc.json
WKT Geometric objects	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
XML	2	2	https://raw.githubusercontent.com/PDIS/swagger_file/master/%E5%85%B1%E9%80%9A%E6%80%A7%E8%B3%87%E6%96%99%E5%AD%98%E5%8F%96%20%E6%87%89%E7%94%A8%E7%A8%8B%E5%BC%8F%E4%BB%8B%E9%9D%A2(API)%E8%A6%8F%E7%AF%84.yaml
ZIP	2	2	https://raw.githubusercontent.com/PDIS/swagger_file/master/%E5%85%B1%E9%80%9A%E6%80%A7%E8%B3%87%E6%96%99%E5%AD%98%E5%8F%96%20%E6%87%89%E7%94%A8%E7%A8%8B%E5%BC%8F%E4%BB%8B%E9%9D%A2(API)%E8%A6%8F%E7%AF%84.yaml
\|\ delimited field names	2	8	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
\|\ delimited integers	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
\|\ delimited model names	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
\d+	2	7	https://api.swaggerhub.com/apis/tanis/as-json_api/1.0.0
^S*$	2	10	https://api.swaggerhub.com/apis/vidcentum/portal/1.0.0
^[0-9a-f]{8}$	2	2	https://raw.githubusercontent.com/immoh/swagger-spec/master/test/resources/swagger-04.yaml
^[a-z](?:[a-z\-0-9]*[a-z0-9])?$	2	2	https://raw.githubusercontent.com/immoh/swagger-spec/master/test/resources/swagger-04.yaml
^\d*$	2	2	https://api.swaggerhub.com/apis/tanis/as-json_api/1.0.0
algorithm-and-colon-and-hexstring	2	2	https://raw.githubusercontent.com/WASAPI-Community/data-transfer-apis/master/ait-reference-specification/transfer_api_archive-it_v1.yaml
alphanumeric	2	21	https://api.swaggerhub.com/apis/nemenemsrouge/be-2_bill_internal_backoffice_api/1.0.0
application/x-www-form-urlencoded	2	2	https://raw.githubusercontent.com/frankvanes/dll-swagger/master/swagger.json
array (uuid)	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TaskAgent.json
as-is	2	25	https://raw.githubusercontent.com/barsgroup/barsup-demo/master/src/barsup_demo/swagger-message.json
bigint	2	10	https://raw.githubusercontent.com/zaxgithub/sample_yaml/master/sample1.yaml
byte array	2	10	https://raw.githubusercontent.com/OpenEye-Contrib/OEMicroservices/master/docs/api-swagger.yaml
case-sensitive	2	4	https://raw.githubusercontent.com/fraunhoferfokus/fic2-cenr/master/swagger/swagger.yaml
char	2	20	https://raw.githubusercontent.com/Azure/autorest/master/src/generator/AutoRest.CSharp.Unit.Tests/Resource/Bug470/Bug470.yaml
char 1	2	6	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
char 2	2	12	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
character varying	2	268	https://raw.githubusercontent.com/PierreRochard/primeng-postgrest/master/index.json
code	2	2	https://api.swaggerhub.com/apis/neopost/eccomvp/1.0.0
coma delimited values	2	2	https://api.swaggerhub.com/apis/nchursin/LS_DescribeAPI/0.1.0
comma-sepreated list of answer-ids	2	2	https://api.swaggerhub.com/apis/jpunz/mc-503_ex_2/1.0.0
count	2	4	https://raw.githubusercontent.com/SixArm/swagger-starter/master/examples/swagger.json
cpf	2	4	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Jose-Lisboa/master/eventSys/docs/eventSys%20API.yaml
currency-code	2	2	https://raw.githubusercontent.com/jharmn/swagger-api-checkstyle/master/examples/uber/swagger.yaml
custom	2	5	https://api.swaggerhub.com/apis/ponelat/aww-snap/1.0.0
date-fullyear-date-month-date-mday	2	2	https://api.swaggerhub.com/apis/DBiT/pigal/v0
dates	2	2	https://raw.githubusercontent.com/Azar06/AWIMarket/master/API-DOC.json
dd-mm-yyyy	2	7	https://api.swaggerhub.com/apis/FF2i/api-passerelles/0.0.1
dd/MM/yyyy HH24:MI:ss	2	4	https://api.swaggerhub.com/apis/indiegente/senati_api/1.1.0
e-mail	2	4	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
email;	2	2	https://api.swaggerhub.com/apis/kazmierczakpiotr3/TestProject/1.0.0
enum - BOOKED - CANCELLED - PAID - UPDATE_REQUESTE...	2	2	https://raw.githubusercontent.com/maasglobal/maas-tsp-api/master/specs/maas-v1.json
enum - citizenship test - citizenship conferral - ...	2	2	https://api.swaggerhub.com/apis/ndis/marketplaceServices/1.0
enum(F,J)	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
flow-id	2	13	https://raw.githubusercontent.com/zalando/nakadi-manual/master/docs/api-spec-oai/nakadi-oai-0.5.1.yaml
freeform	2	8	https://raw.githubusercontent.com/SixArm/swagger-starter/master/examples/swagger.json
generic-id	2	2	https://api.swaggerhub.com/apis/pchipman/provider-search/1.0.0
geoPoint	2	3	https://raw.githubusercontent.com/sergehuber/contextserver-rest-api/master/cxsSwagger.yaml
hashed password	2	2	https://raw.githubusercontent.com/springblock/Chaincore/master/src/BlockEx/BlockExAPI/api/swagger.yaml
identity	2	36	https://api.swaggerhub.com/apis/trntga/forum/0.1.0
image	2	7	https://api.swaggerhub.com/apis/darkwater84/multicomm-app_api/1.0.0
in	2	24	https://api.swaggerhub.com/apis/damien.broqua/HomePlannerWS/0.0.1
innt64	2	2	https://api.swaggerhub.com/apis/joaosoranz/marketplace-api/1.0.0
int 11	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
int12	2	2	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Pedro-Velloso/master/swagger.json
int128	2	5	https://raw.githubusercontent.com/donnerruebe/HAW_AIP_2015/master/APIDOC/FlightOpGreenAPIFlight.yaml
int3	2	7	https://raw.githubusercontent.com/guodont/a-tech-backend/master/docs/swagger-atech-api.yaml
int32g	2	2	https://raw.githubusercontent.com/tfg-2016-ASU/tfg-2016-ASU/master/api/swaggerVersion1.yaml
int32t	2	2	https://raw.githubusercontent.com/jobeq/api/master/specification.yaml
int5	2	2	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Paula-Luisa/master/pkmon.yaml
intMin0Max7	2	4	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
intMin1Max3	2	2	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
intMin1Max32	2	2	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
intMin46Max9600	2	2	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
intn64	2	2	https://api.swaggerhub.com/apis/joaosoranz/marketplace-api/1.0.0
ipaddress	2	10	https://raw.githubusercontent.com/apollo17march/data-distribution-api/master/swagger.yaml
ipv6	2	2	https://api.swaggerhub.com/apis/helen/mock-test/1.0
iso-3166-1-alpha-2	2	3	https://api.swaggerhub.com/apis/przemeksroka/customer-api/1.0.0
iso8601	2	2	https://api.swaggerhub.com/apis/kv109/SOLID/1.0.0
java.util.date	2	6	https://api.swaggerhub.com/apis/vm001uec/express-campaign_creation_api/1.0.0
jwt token	2	2	https://raw.githubusercontent.com/cmatcham/healthy-kids/master/documentation/api.yaml
key-value pairs	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
label	2	2	https://raw.githubusercontent.com/spilio/chefArchitect.github.io/master/assets/apispots/swaggered/img/swagger.json
language-map	2	2	https://raw.githubusercontent.com/shield-9/MBXP/master/swagger.json
map	2	4	https://raw.githubusercontent.com/corebob/olims-api/master/docs/api.json
maxLen200	2	25	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
maxLen255	2	2	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
maxLen36	2	20	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
maxLen36AlphaNumericDashUnderscore	2	42	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
maxLen400	2	8	https://api.swaggerhub.com/apis/wuxiuchao/WANVPN-NBI/0.1.0
meta:email-address	2	7	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
meta:person-name	2	8	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
meters	2	2	https://raw.githubusercontent.com/theSuess/openspotmap/master/api/v0/swagger.yaml
miles	2	2	https://raw.githubusercontent.com/Tzinov15/SwaggerBank/master/test/mockYamls/missingExamplesHiking.yaml
milliseconds	2	17	https://raw.githubusercontent.com/gogithubalex/dmcFrontend/master/restapi/DMCInterfaceSwagger.yaml
mime	2	2	https://raw.githubusercontent.com/shield-9/MBXP/master/swagger.json
mm/dd/yyyy	2	4	https://api.swaggerhub.com/apis/ums-dev/HOTSTAR-UM/0.0.1
n/a	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
non-iso-duration	2	12	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-datalake-analytics/job/2015-11-01-preview/swagger/job.json
objectID	2	10	https://raw.githubusercontent.com/masterdessi2016/RestAPI/master/dist/api-docs.json
phone_number	2	3	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
png	2	4	https://raw.githubusercontent.com/wikimedia/mediawiki-services-graphoid/master/spec.yaml
real	2	2	https://api.swaggerhub.com/apis/MitchellBurton/WXTiles/v0
rfc3986	2	44	https://api.swaggerhub.com/apis/kfolinus-endava/wam-left_shark_consumer_portal_api_documentation/1.2.4
rgb	2	3	https://raw.githubusercontent.com/masaru-takano/DeviceConnect-Spec/master/api/light.json
serialized json array of '#/definitions/Cursor'	2	2	https://raw.githubusercontent.com/zalando/nakadi-manual/master/docs/api-spec-oai/nakadi-oai-0.5.1.yaml
services	2	2	https://raw.githubusercontent.com/PDIS/swagger_file/master/%E5%85%B1%E9%80%9A%E6%80%A7%E8%B3%87%E6%96%99%E5%AD%98%E5%8F%96%20%E6%87%89%E7%94%A8%E7%A8%8B%E5%BC%8F%E4%BB%8B%E9%9D%A2(API)%E8%A6%8F%E7%AF%84.yaml
slug	2	14	https://raw.githubusercontent.com/laincloud/sso-ldap/master/apidoc/swagger.json
small	2	2	https://api.swaggerhub.com/apis/rajeshknigam/Student/1.0.0
smiles	2	6	https://raw.githubusercontent.com/DouglasConnect/ChemIdConvert/master/swagger.yaml
sort[id]=asc	2	4	https://api.swaggerhub.com/apis/Icdev/affise-api/2
text/html	2	4	https://raw.githubusercontent.com/psomashe/amc-interview/master/binary-tree-rest-master/api/swagger/swagger.yaml
text/plain	2	3	https://raw.githubusercontent.com/10Duke/java-client-idp/master/com.tenduke.client.java.sample/src/main/resources/user_api_v1.json
text/xml	2	2	https://api.swaggerhub.com/apis/VolkerZippel/proof-of_concept/1.0.0
time-span	2	7	https://api.swaggerhub.com/apis/Mithardir/merz-project_84_test/v1
timestamp without time zone	2	72	https://raw.githubusercontent.com/PierreRochard/primeng-postgrest/master/index.json
unix_timestamp	2	6	https://api.swaggerhub.com/apis/vilakshan/Bidgely/2.1
url-path	2	4	https://raw.githubusercontent.com/nicko7i/vcnc/master/vcnc-rest/api/v2api.yaml
utf-8	2	10	https://api.swaggerhub.com/apis/kfolinus-endava/wam-left_shark_consumer_portal_api_documentation/1.2.4
utf8	2	10	https://raw.githubusercontent.com/gti525/h17-reseau-social/master/storage/api-docs/api-docs.json
varchar 10	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 100	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 12	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 128	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 20	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 25	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 250	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 255	2	9	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 30	2	9	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 50	2	21	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 60	2	9	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 64	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
varchar 9	2	3	https://api.swaggerhub.com/apis/morvanabonin/kinghost-api/1.0
xtype:flow-identifier	2	43	https://raw.githubusercontent.com/corenova/yang-cord/master/service/cord-vsg/swagger.yaml
yang:yang-identifier	2	10	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
yes | no	2	2	https://api.swaggerhub.com/apis/krachman/appmixer-components/1
yyyy-MM-dd HH:mm	2	3	https://raw.githubusercontent.com/motation/ai15-price-and-revenue/master/docs/flightop.yaml
yyyy-mm	2	4	https://api.swaggerhub.com/apis/vilakshan/Bidgely/2.1
yyyy-mm-dd hh:ii:ss	2	10	https://api.swaggerhub.com/apis/Icdev/affise-api/2
yyyymmdd	2	7	https://raw.githubusercontent.com/andy-zhangtao/v22/master/doc/api.json
zip	2	3	https://raw.githubusercontent.com/andrewjtech123/rebilly-validschema/master/spec/swagger.yaml
Device_ID	1	1	https://raw.githubusercontent.com/jimishio/jimishio.github.io/master/swagger.json
#$ref/definitions/Calculator.subtract.params	1	1	https://api.swaggerhub.com/apis/fboranek/calculator-example/1.0.0
#/definitions/Cursor	1	1	https://raw.githubusercontent.com/zalando/nakadi/master/api/nakadi-event-bus-api.yaml
#/definitions/Hakemus	1	1	https://raw.githubusercontent.com/solita/livijuku/master/juku-backend/src/swagger/asiahallinta/asiahallinta-api.yaml
#/definitions/Hakemuskausi	1	1	https://raw.githubusercontent.com/solita/livijuku/master/juku-backend/src/swagger/asiahallinta/asiahallinta-api.yaml
#/definitions/Paatos	1	1	https://raw.githubusercontent.com/solita/livijuku/master/juku-backend/src/swagger/asiahallinta/asiahallinta-api.yaml
#/definitions/Taydennys	1	2	https://raw.githubusercontent.com/solita/livijuku/master/juku-backend/src/swagger/asiahallinta/asiahallinta-api.yaml
#/definitions/TaydennysHakuohje	1	1	https://raw.githubusercontent.com/solita/livijuku/master/juku-backend/src/swagger/asiahallinta/asiahallinta-api.yaml
%d-%m-%y:%M-%h	1	2	https://api.swaggerhub.com/apis/kyzi007/iac-billing/1.0.0
'90x90' | '195'x'195' | '584'x'584'	1	1	https://raw.githubusercontent.com/tylerlong/ringcentral-csharp-codegen/master/specs/basic.json
'CallerId' | 'SmsSender'	1	1	https://raw.githubusercontent.com/tylerlong/ringcentral-csharp-codegen/master/specs/basic.json
'completed={result_url}' : query successfuly proce...	1	1	https://raw.githubusercontent.com/dgrechka/FetchClimateAPI/master/API.yaml
(+7)9091234567	1	5	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
([0-9]+[-])*[0-9]+	1	1	https://raw.githubusercontent.com/frankvanes/dll-swagger/master/swagger.json
(format to define)	1	1	https://raw.githubusercontent.com/sweng-epfl/2015-team-phisicists/master/serviceAPI.yaml
+XXAABBCCDDEE	1	2	https://raw.githubusercontent.com/sittor/back/master/swagger/result.json
+ve	1	11	https://api.swaggerhub.com/apis/anson/Testing2/0.0.1
-180 до 180 с 6 десятичными знаками	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
-90 до 90 с 6 десятичными знаками	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
-?\w+	1	1	https://raw.githubusercontent.com/Avalara/developer-dot/master/dynamic/swagger/avataxbr/companies-api.json
.*	1	1	https://raw.githubusercontent.com/swagger-api/swagger-codegen/master/modules/swagger-codegen/src/test/resources/2_0/responseHeaderTest.yaml
...	1	1	https://raw.githubusercontent.com/pericles-project/SPIN-rule-engine/master/apidocs/ui/swagger.json
/(\W\w+\-?)+/	1	4	https://raw.githubusercontent.com/ygirard/NxICAPI/master/Swagger_APISpec.yaml
/Foo/Bar	1	2	https://raw.githubusercontent.com/Microsoft/MetricSystem/master/doc/metricsystem_swagger.yaml
/\A([\w+\-](\.[\w+\-])?)+@[a-z\d\-]+(\.[a-z]+)*\.[...	1	2	https://raw.githubusercontent.com/ygirard/NxICAPI/master/Swagger_APISpec.yaml
/\A\h{40}\z/	1	1	https://api.swaggerhub.com/apis/nepalez/Gero/0
/\d+/	1	2	https://raw.githubusercontent.com/ygirard/NxICAPI/master/Swagger_APISpec.yaml
/^(?:[a-zA-Z0-9]{4}-?){4}$/	1	1	https://api.swaggerhub.com/apis/pulsedns/PulseDNS/1.0.0
/^[a-zA-Z0-9]+$/	1	1	https://raw.githubusercontent.com/blinkboxbooks/storage-service/master/swagger/admin.yaml
/^bbbmap:[a-zA-Z0-9]+:/	1	1	https://raw.githubusercontent.com/blinkboxbooks/storage-service/master/swagger/admin.yaml
/root/path/to/application	1	1	https://api.swaggerhub.com/apis/dvjunior/ocs-inventory-api/1.0.0
/wiki/{article-id}	1	1	https://api.swaggerhub.com/apis/rj-jesus/makerlab/0.0.1
0	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
0    Train (metropolitan) 1    Tram 2    Bus (metr...	1	1	https://raw.githubusercontent.com/Crazedpeanut/PTV-Client-SDKs/master/swagger.yaml
0 -> 100	1	5	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
0 or 1	1	2	https://api.swaggerhub.com/apis/rohit.menon/Adminder-Web/1.0.0
0-16	1	1	https://raw.githubusercontent.com/tylerlong/ringcentral-csharp-codegen/master/specs/basic.json
0-255	1	1	https://api.swaggerhub.com/apis/paulmandal/led-control-api/0.0.1
0/1/2/3	1	1	https://api.swaggerhub.com/apis/anson/Testing/0.0.1
0000-00-00 00:00:00	1	4	https://api.swaggerhub.com/apis/stephan.reins/storefronts/1.0.0
00000	1	1	https://api.swaggerhub.com/apis/dianacerra0901/registro-unico_services/2.0.2
0909999999	1	1	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
0\d{7}X\d	1	1	https://raw.githubusercontent.com/jeedo/fluffy-octo-kumquat/master/api/swagger.json
0nnnnnnnnn	1	1	https://raw.githubusercontent.com/jeedo/fluffy-octo-kumquat/master/api/swagger.json
0|1|2	1	4	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
1 or 0	1	1	https://api.swaggerhub.com/apis/brainsolutions/AnnaWebApi/1.0
1,2,3	1	1	https://api.swaggerhub.com/apis/reine/Lanetalk/1.0.0
1-2147483647	1	1	https://api.swaggerhub.com/apis/pulsedns/PulseDNS/1.0.0
1-digit code	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
1.0, 9.6.41	1	1	https://api.swaggerhub.com/apis/dvjunior/ocs-inventory-api/1.0.0
10 Digits	1	9	https://api.swaggerhub.com/apis/jm.agms/Perpetual-Profits/1.0.0
123456789012|1234567890123456	1	1	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
123@abc	1	1	https://api.swaggerhub.com/apis/baljeet.singh/login/1.0.0
13-letter id	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
14-letter id	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
1452736523	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
1990-01-10	1	3	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
1=visible, 0=hidden, -1=pending deletion	1	1	https://api.swaggerhub.com/apis/thejayemiller/DNcore/1.0.0
1|2|3...	1	3	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
2-letter ISO country code	1	1	https://api.swaggerhub.com/apis/stinethebean/ClaimCompass-Microsoft2/1.0.0
200000	1	1	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
2015-05-15	1	2	https://api.swaggerhub.com/apis/jakubk/BCM-xG/1
2016-12-31 21:00	1	8	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
2016-12-31 21:00:00.344000	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
2017-02-17T12:14:24+0200	1	1	https://raw.githubusercontent.com/geekhub-php/CheTheatre/master/doc/theatre.json
2017-03-10T09:12:33.001Z level: type: integer form...	1	1	https://api.swaggerhub.com/apis/SnehansuBhuyan/Test/1.0.0
24/12/2017	1	1	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
3-digit code	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
3-letter currency code, lower case	1	1	https://api.swaggerhub.com/apis/paulmandal/ads-api/1.0.0
3-letter state code	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
31/12/2017	1	1	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
32 characters	1	1	https://api.swaggerhub.com/apis/AIRMAP-kevin/user/0.0.2
3411	1	2	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
4 Digits	1	4	https://api.swaggerhub.com/apis/jm.agms/Perpetual-Profits/1.0.0
4-digit Australian postcode	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
408 character string.	1	2	https://api.swaggerhub.com/apis/jm.agms/Perpetual-Profits/1.0.0
450 character string.	1	1	https://api.swaggerhub.com/apis/jm.agms/Perpetual-Profits/1.0.0
48 bit MAC address	1	2	https://api.swaggerhub.com/apis/swamin7191/getTripEvent/1.0.0
5	1	1	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
5 Digits	1	2	https://api.swaggerhub.com/apis/jm.agms/Perpetual-Profits/1.0.0
5-digit code	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
5.90	1	4	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
50	1	1	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
5322905523	1	1	https://api.swaggerhub.com/apis/zezeron/hedefIN/v2
581cefbcassdfffabad8b8aded0.jpg	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
581cefbcf577abad8b8adea4181	1	4	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
581cefbcf577abad8b8adea4182	1	5	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
58337137f577ab5c3ffea8eb	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
5|10...	1	3	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
64 chars hex	1	2	https://raw.githubusercontent.com/RCasatta/ew-core/master/ewcore/bin/manifest.yaml
657364819919284.jpg	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
77788666622211	1	1	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
8	1	3	https://api.swaggerhub.com/apis/pasavvas/HEWI/0.0.1
9-digit code	1	1	https://api.swaggerhub.com/apis/kevinlli/LocateDrinks/0.1
9011xxx	1	4	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
<<Name of doc| Profile | username>> and no_answers...	1	1	https://api.swaggerhub.com/apis/art/get_discussion/v1
<=2	1	1	https://api.swaggerhub.com/apis/anson/Testing2/0.0.1
<categoryid> or <categoryname>	1	1	https://api.swaggerhub.com/apis/LakanaEngineering/Lakana_RESTful_API_V2.13/2.13
>= 0	1	1	https://raw.githubusercontent.com/Jumpscale/_archive/master/agentcontroller8/agent-swagger.yaml
>= 1	1	1	https://raw.githubusercontent.com/Jumpscale/_archive/master/agentcontroller8/agent-swagger.yaml
?	1	3	https://api.swaggerhub.com/apis/anson/Testing/0.0.1
A	1	1	https://api.swaggerhub.com/apis/ttkdroid/Test/1.0.0
A value returned from message-view-types endpoint	1	1	https://api.swaggerhub.com/apis/flipmokid/web-messaging_admin_api/0.0.13
AAAA-MM-GG	1	1	https://raw.githubusercontent.com/salvioner/SE_16_182870_175020_173715_P/master/API/API.yaml
AAAAMMGG	1	1	https://raw.githubusercontent.com/salvioner/SE_16_182870_175020_173715_P/master/API/API.yaml
AND OR What...	1	4	https://api.swaggerhub.com/apis/pelle1024/VNF/1.0.0
ARRAY	1	4	https://api.swaggerhub.com/apis/jgwerner/postg-rest_api/0.3.2.0
ASC - DESC	1	5	https://raw.githubusercontent.com/EpykOS/msipymeDocs/master/api/api/swagger.yaml
ASC or DESC in uppercase	1	1	https://api.swaggerhub.com/apis/viacheslav-k/VMS-RD/1.0.0
ASC,DESC	1	4	https://api.swaggerhub.com/apis/mohanasrinivasan/RentSher/v1
ASC|DESC	1	1	https://raw.githubusercontent.com/10Duke/java-client-idp/master/com.tenduke.client.java.sample/src/main/resources/user_api_v1.json
AVC Id	1	1	https://raw.githubusercontent.com/jeedo/fluffy-octo-kumquat/master/api/swagger.json
AccountProviderNamespace	1	5	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Commerce.json
Airport Id	1	2	https://raw.githubusercontent.com/motation/ai15-price-and-revenue/master/docs/flightop.yaml
Alias room sample	1	3	https://api.swaggerhub.com/apis/bugor/django-eventa/1.0.0
Any string	1	2	https://api.swaggerhub.com/apis/fabianandres/ehb-api_definition/1.0.0
ApprovalStatus	1	1	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Release.json
ApprovalType	1	1	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Release.json
BSON ObjectID	1	1	https://api.swaggerhub.com/apis/mlipson/title2/1.0.0
BSON objectID	1	5	https://api.swaggerhub.com/apis/mlipson/title2/1.0.0
Base64	1	2	https://raw.githubusercontent.com/ISS-Analytics/canvas-lms-visualizations-api/master/public/swagger.yaml
Base64 encoded	1	1	https://api.swaggerhub.com/apis/reine/Lanetalk/1.0.0
Base64-url-encoded JWT (JSON Web Token)	1	2	https://raw.githubusercontent.com/webwallet/swagger/master/swagger.yaml
Basic xxxx	1	1	https://api.swaggerhub.com/apis/timfogarty-deluxe/SferaSAP/1.0.0
Basic: base64 encode	1	1	https://api.swaggerhub.com/apis/sparklemotion/snap-story_v_2_for_android/2.0.0
Bearer zasxcd123qwerf	1	18	https://api.swaggerhub.com/apis/hnquang112/MLoyalty/2.0.0
