format	definitions	instances	example
A string conforming to RFC 3339 (https://tools.iet...	13	212	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_primitives.yaml
Signed 32-bit integer	13	42	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.yaml
Stream	13	35	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTrackingProcessTemplate.json
base64	13	24	https://raw.githubusercontent.com/Xilef09/hackernewsASW/master/api/api.yaml
http status code	13	26	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.yaml
ip-address	13	13	https://raw.githubusercontent.com/wxiaof2005/Docker/master/api/swagger.yaml
A decimal number encodes as a string. The amount o...	12	112	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
YYYY-MM-DD	12	44	https://raw.githubusercontent.com/sittor/back/master/swagger/result.json
array (string)	12	47	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTracking.json
ipv4	12	53	https://raw.githubusercontent.com/russell/fairy-slipper-migration/master/conversion_files/networking-extensions-v2-swagger.json
String representation of the numerical OANDA-assig...	11	272	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
float32	11	56	https://raw.githubusercontent.com/stillwater-sc/godfa/master/api/dfa-api.yaml
id	11	134	https://raw.githubusercontent.com/VirlanValentin/WADe_UReR/master/swaggerLastVersion.yaml
xss-token	11	171	https://raw.githubusercontent.com/XiaChen2016/expense-tracker/master/Documents/TrackrAPI(2.1).json
integer32	10	38	https://raw.githubusercontent.com/snowygaming/artspace-api/master/swagger.json
svg	10	10	https://raw.githubusercontent.com/swapnanildeb/raml-testing/master/blockapps-docs/blockapps-docs/dist/swagger.json
uid	10	68	https://raw.githubusercontent.com/open311/schema-validation/master/schema/georeport-v2/swagger.json
A decimal number encoded as a string. The amount o...	9	94	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_primitives.yaml
???	8	8	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/examples/hackweek.yaml
path	8	10	https://raw.githubusercontent.com/Wei1234c/dockerfiles/master/ARMv7/notebook/notebook/services/api/api.yaml
phone	8	13	https://raw.githubusercontent.com/springblock/Chaincore/master/src/BlockEx/BlockExAPI/api/swagger.yaml
JContainer	7	8	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TaskAgent.json
JTokenType	7	8	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TaskAgent.json
TimeSpan	7	18	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Utilization.json
enum	7	57	https://raw.githubusercontent.com/SixArm/swagger-starter/master/examples/swagger.yaml
/^(\d+\.)?(\d+\.)?(\*|\d+)$/	6	111	https://raw.githubusercontent.com/stjosephcontent/app-registry/master/services/nodejs/api/swagger/swagger.yaml
JToken	6	6	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Security.json
The string representation of the OANDA-assigned Or...	6	96	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
The string representation of the OANDA-assigned Tr...	6	82	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
URI	6	10	https://raw.githubusercontent.com/webwallet/api/master/api/swagger/swagger.yaml
currency	6	10	https://raw.githubusercontent.com/zhuliliang/cloudapi/master/src/main/yaml/prospects.yaml
data-time	6	7	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/examples/nakadi.yaml
date-format	6	35	https://raw.githubusercontent.com/metaclassing/PHP7-CertBot/master/storage/api-docs/api-docs.json
filename	6	18	https://raw.githubusercontent.com/Wei1234c/dockerfiles/master/ARMv7/notebook/notebook/services/api/api.yaml
google-duration	6	12	https://logging.googleapis.com/$discovery/rest?version=v2
identityref	6	8	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
inet:uri	6	41	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
leafref	6	161	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
mask	6	141	https://raw.githubusercontent.com/peircechow/peircechow.github.io/master/scripts/swagger_to_markdown/swagger.json
time-date	6	16	https://raw.githubusercontent.com/ubirch/ubirchApiDocs/master/swaggerDocs/ubirch/chain_service/1.0/ubirch_chain_service_api.json
A string containing an ISO 4217 currency (http://e...	5	6	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_primitives.yaml
JWT Tokens	5	5	https://raw.githubusercontent.com/zalando-incubator/zally/master/server/src/test/resources/fixtures/api_with_undefined_scope.yaml
any	5	22	https://raw.githubusercontent.com/mangoWarrior42/itemfinder/master/target/classes/swagger.yaml
array (int32)	5	13	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Work.json
countryCode	5	5	https://raw.githubusercontent.com/frankvanes/dll-swagger/master/swagger-usergroup.json
date-time-time	5	5	https://raw.githubusercontent.com/ArmRay/Arm_Ray_App/master/swagger_ui/search/api/swagger.yaml
enumeration	5	21	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
float64	5	9	https://raw.githubusercontent.com/olebedev/go-tgbot/master/swagger.yaml
hex	5	15	https://raw.githubusercontent.com/webwallet/swagger/master/swagger.yaml
hostname	5	8	https://raw.githubusercontent.com/tmforum/DSPRIVACY/master/tmforum-Privacy-1.0-swagger-3.json
int4	5	13	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Paula-Luisa/master/pkmon.yaml
local-date-time	5	10	https://raw.githubusercontent.com/MyPureCloud/purecloud_api_sdk_ruby/master/swagger.json
meta:description	5	9	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
yyyy-mm-ddThh:MM:ssZ	5	6	https://raw.githubusercontent.com/nmdanny/perservant-loans/master/assets/swaggerPersonAPI.json
Either the Order's OANDA-assigned OrderID or the O...	4	8	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_position.yaml
HH:MM	4	4	https://raw.githubusercontent.com/axa-azure-deployment/hackzurich2016-axa/master/rest-app/dist/swagger.yaml
HttpResponseMessage	4	72	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TestImpact.json
ISO 8601	4	16	https://raw.githubusercontent.com/BristechSRM/sessions-deprecated/master/Sessions/api.json
ISO-8601	4	9	https://raw.githubusercontent.com/zalando/innkeeper/master/swagger.yaml
Int32	4	58	https://raw.githubusercontent.com/rafael-pinho/docker-examples/master/docker-compose/tdc-sampa-2016-devops-java/node-api/configuration/swagger.json
Single	4	4	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Work.json
Standard Thumbnail	4	4	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/most_popular_api/most_popular_api_v2.json
[0-9]{1,3}	4	4	https://raw.githubusercontent.com/Avalara/developer-dot/master/dynamic/swagger/avataxbr/invoices-api.json
base58	4	8	https://raw.githubusercontent.com/webwallet/swagger/master/swagger.yaml
csv	4	7	https://raw.githubusercontent.com/SnapMD/virtualcare-api-docs/master/spec/swagger.yaml
data	4	4	https://raw.githubusercontent.com/AlinaMoskieva/Department/master/target/classes/Swagger/swaggerDepartment.yaml
in64	4	4	https://raw.githubusercontent.com/patrick246/webrtcangular/master/swagger.json
int2	4	14	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Pedro-Velloso/master/swagger%20.yaml
meta:password	4	100	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
nested arrays	4	4	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/validations/nested_arrays_validation.yaml
short	4	29	https://raw.githubusercontent.com/syncore/a2sapi/master/a2sapi-swagger.yaml
udid	4	8	https://raw.githubusercontent.com/VirlanValentin/WADe_UReR/master/swaggerLastVersion.yaml
uint	4	5	https://raw.githubusercontent.com/open311/schema-validation/master/schema/georeport-v2/swagger.json
unixtime	4	17	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/keyvault/2016-10-01/swagger/keyvault.json
utc-millisec	4	38	http://api.docs.import.io/swagger.json
xtype:access-role	4	100	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
xtype:unique-identifier	4	143	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
yang:date-and-time	4	22	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
--delimited string with format {siteID}-{divisi...	3	75	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_transaction.yaml
As stored in database	3	3	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger-0.1.3.yaml
CLXXXX	3	10	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger-0.1.3.yaml
CLXXXXX	3	9	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger-0.1.3.yaml
CVE-YYYY-NNNN	3	6	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
IOU8061	3	3	https://raw.githubusercontent.com/webwallet/api/master/api/swagger/swagger.yaml
ISO8061	3	4	https://raw.githubusercontent.com/webwallet/api/master/api/swagger/swagger.yaml
ObjectID	3	176	https://raw.githubusercontent.com/migueloop/mp/master/event-manager/back/api/swagger/swagger.yaml
Signed 16-bit integer	3	15	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.yaml
String	3	10	https://raw.githubusercontent.com/yolanda6/test/master/courseAPI-4.json
YYYY	3	3	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
YYYYMMDD	3	13	https://raw.githubusercontent.com/mon0051/Angular2TestHarness/master/swagger/swagger-0.1.3.yaml
application/zip	3	3	https://raw.githubusercontent.com/zagovorichev/swagger-json-collector/master/tests/samples/QtiItem.json
asc/desc	3	3	https://raw.githubusercontent.com/vitush93/mffun/master/docs/api.yaml
big number	3	4	https://raw.githubusercontent.com/webwallet/api/master/api/swagger/swagger.yaml
cisco-sa-XXX	3	6	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
color	3	5	https://raw.githubusercontent.com/peircechow/peircechow.github.io/master/scripts/swagger_to_markdown/swagger.json
command separated list	3	3	http://recsvm.rummblelabs.com/api-spec/seldon.json
flow/partner_date:time	3	32	https://raw.githubusercontent.com/bochen2014/swagger-cors-support/master/api/swagger.yaml
full-date	3	4	https://raw.githubusercontent.com/JenaStark/SwaggerAPI/master/swagger.yaml
full-date YYYY-MM-DD	3	39	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.yaml
google-fieldmask	3	23	https://sheets.googleapis.com/$discovery/rest?version=v4
latitude,longitude	3	5	https://raw.githubusercontent.com/theSuess/openspotmap/master/api/v0/swagger.yaml
mediawiki	3	3	https://raw.githubusercontent.com/wikimedia/mediawiki-services-restbase/master/v1/citoid.yaml
objectid	3	20	https://raw.githubusercontent.com/PokeSec/EPManage/master/Management-API.yaml
percentage	3	3	https://raw.githubusercontent.com/zhuliliang/cloudapi/master/src/main/yaml/quotations.yaml
regex	3	13	https://raw.githubusercontent.com/stepsic-microsoft-com/ScriptConnector/master/api.json
regexp	3	6	https://raw.githubusercontent.com/russell/fairy-slipper-migration/master/conversion_files/compute-v2-swagger.json
semver	3	32	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
single	3	6	https://raw.githubusercontent.com/Kensze/Svensk-Fotboll/master/Swagger-export/swagger.yaml
stringDcJobsByDate	3	3	https://raw.githubusercontent.com/PlexConnectAdmin/WindowsFormApplications/master/Swagger%20files/Test/DemandCaster.yaml
timestamp	3	7	https://raw.githubusercontent.com/Turnierserver/Turnierserver/master/Frontend/api.yaml
title	3	3	D:\nodejs\analysis\defs_github_large\wikimedia+restbase@v1-random.yaml
uuid4	3	3	https://raw.githubusercontent.com/Turnierserver/Turnierserver/master/Frontend/api.yaml
uuidw	3	3	https://raw.githubusercontent.com/a1422020484/apidoc/master/src/main/resources/data/swagger4.json
whateverformat	3	3	https://raw.githubusercontent.com/farazsid/Test/master/src/ResourceManagement/ApiManagement/ApiManagement.Tests/Resources/SwaggerPetStoreV2.json
xtype:isolation	3	18	https://raw.githubusercontent.com/corenova/yang-cord/master/swagger.yaml
/^Bearer .+/	2	8	https://raw.githubusercontent.com/blinkboxbooks/reading-service/master/swagger/reading-service-public.yaml
/^[a-z](?:[a-z\-0-9]*[a-z0-9])?$/	2	2	https://raw.githubusercontent.com/immoh/swagger-spec/master/test/resources/swagger-04.yaml
16 byte random value	2	2	https://raw.githubusercontent.com/javakisagh/file-cloud-doc/master/swagger.json
16 byte string returned by /users/access	2	16	https://raw.githubusercontent.com/javakisagh/file-cloud-doc/master/swagger.json
A user specifier may have one of 3 formats: the OA...	2	4	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_user.yaml
Basic base64 encoded login:password	2	2	https://raw.githubusercontent.com/javakisagh/file-cloud-doc/master/swagger.json
Change	2	4	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Tfvc.json
Date	2	3	https://raw.githubusercontent.com/xtraclabs/appreg/master/api/swagger.yaml
Either the Trade's OANDA-assigned TradeID or the T...	2	4	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_trade.yaml
FolderPathQueryOrder	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Release.json
GetWorkItemTypeExpand	2	4	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTrackingProcessDefinitions.json
IMSI	2	12	https://raw.githubusercontent.com/soracom/soracom-sdk-swift/master/Whatever/swagger/api-definition/soracom-api.en.json
ISO4217:BASE58	2	2	https://raw.githubusercontent.com/webwallet/api-old/master/api/swagger/swagger.yaml
Interval of cloud coverage in percent	2	6	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
Interval of dates in ISO 8601	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
Interval of incidence angle in degrees	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
Interval of resolution in meter	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
IssuedToken	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Identities.json
Locale	2	2	https://raw.githubusercontent.com/frankvanes/dll-swagger/master/swagger.json
MessageML	2	6	https://raw.githubusercontent.com/symphonyoss/symphony-java-client/master/symphony-apis/agent/api/src/main/resources/agentAPI.yaml
OperationStatus	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Search.json
Single element in set {0-15% ; 15-35% ; 35-60% ; >...	2	21	https://raw.githubusercontent.com/LandPotential/LandPKS_API_System/master/LandPKS_API_System.yaml
TBD	2	3	https://raw.githubusercontent.com/KaloNikolov/node-js-to-azure-deployment/master/api/swagger.yaml
The string 'Bearer ' followed by the token.	2	2	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_primitives.yaml
Timespan	2	2	https://raw.githubusercontent.com/Microsoft/mobile-center-cli/master/swagger/bifrost.swagger.before.json
VersionControlRecursionType	2	8	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/Tfvc.json
WKT Geometric objects	2	3	https://raw.githubusercontent.com/airbusgeo/api-docs/master/search.yaml
XML	2	2	https://raw.githubusercontent.com/PDIS/swagger_file/master/%E6%94%BF%E5%BA%9C%E8%B3%87%E6%96%99%E9%96%8B%E6%94%BE%E8%B7%A8%E5%B9%B3%E8%87%BA%E4%BB%8B%E6%8E%A5%E8%A6%8F%E7%AF%84.yaml
ZIP	2	2	https://raw.githubusercontent.com/PDIS/swagger_file/master/%E6%94%BF%E5%BA%9C%E8%B3%87%E6%96%99%E9%96%8B%E6%94%BE%E8%B7%A8%E5%B9%B3%E8%87%BA%E4%BB%8B%E6%8E%A5%E8%A6%8F%E7%AF%84.yaml
\|\ delimited field names	2	8	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
\|\ delimited integers	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
\|\ delimited model names	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
^[0-9a-f]{8}$	2	2	https://raw.githubusercontent.com/immoh/swagger-spec/master/test/resources/swagger-04.yaml
^[a-z](?:[a-z\-0-9]*[a-z0-9])?$	2	2	https://raw.githubusercontent.com/immoh/swagger-spec/master/test/resources/swagger-04.yaml
algorithm-and-colon-and-hexstring	2	2	https://raw.githubusercontent.com/WASAPI-Community/data-transfer-apis/master/ait-reference-specification/transfer_api_archive-it_v1.yaml
application/x-www-form-urlencoded	2	2	https://raw.githubusercontent.com/frankvanes/dll-swagger/master/swagger.json
array (uuid)	2	2	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/TaskAgent.json
as-is	2	25	https://raw.githubusercontent.com/barsgroup/barsup-demo/master/src/barsup_demo/swagger-message.json
base58check	2	4	https://raw.githubusercontent.com/webwallet/api-old/master/api/swagger/swagger.yaml
base64 image	2	2	https://raw.githubusercontent.com/springblock/Chaincore/master/src/BlockEx/BlockExAPI/api/swagger.yaml
bool	2	2	https://raw.githubusercontent.com/eSteemApp/steemapi/master/docs/swagger.json
byte array	2	10	https://raw.githubusercontent.com/OpenEye-Contrib/OEMicroservices/master/docs/api-swagger.yaml
case-sensitive	2	4	https://raw.githubusercontent.com/fraunhoferfokus/fic2-cenr/master/swagger/swagger.yaml
char	2	20	https://raw.githubusercontent.com/Azure/autorest/master/src/generator/AutoRest.CSharp.Unit.Tests/Resource/Bug470/Bug470.yaml
count	2	4	https://raw.githubusercontent.com/SixArm/swagger-starter/master/examples/swagger.yaml
countrycode	2	6	http://learnifier.com/apidocs/learnifier.json
cpf	2	4	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Jose-Lisboa/master/eventSys/docs/eventSys%20API.yaml
currency-code	2	2	https://raw.githubusercontent.com/jharmn/swagger-api-checkstyle/master/examples/uber/swagger.yaml
enum - BOOKED - CANCELLED - PAID - UPDATE_REQUESTE...	2	2	https://raw.githubusercontent.com/maasglobal/maas-tsp-api/master/docs/specs/maas-v1.json
epoch	2	6	https://raw.githubusercontent.com/tilosradio/web2-backend/master/restapi/src/main/resources/tilos.yaml
extid	2	8	http://learnifier.com/apidocs/learnifier.json
flow-id	2	13	https://raw.githubusercontent.com/zalando/nakadi-manual/master/docs/api-spec-oai/nakadi-oai-0.5.1.yaml
freeform	2	8	https://raw.githubusercontent.com/SixArm/swagger-starter/master/examples/swagger.yaml
geoPoint	2	3	https://raw.githubusercontent.com/sergehuber/contextserver-rest-api/master/cxsSwagger.yaml
google	2	4	https://api.apis.guru/v2/swagger.json
hashed password	2	2	https://raw.githubusercontent.com/springblock/Chaincore/master/src/BlockEx/BlockExAPI/api/swagger.yaml
id64	2	4	http://learnifier.com/apidocs/learnifier.json
in32	2	4	https://raw.githubusercontent.com/asarium/fs2netd-nodejs/master/public/api/v1/swagger.json
int12	2	2	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Pedro-Velloso/master/swagger%20.yaml
int32g	2	2	https://raw.githubusercontent.com/tfg-2016-ASU/tfg-2016-ASU/master/api/swaggerVersion1.yaml
int32t	2	2	https://raw.githubusercontent.com/jobeq/api/master/specification.yaml
int5	2	2	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Paula-Luisa/master/pkmon.yaml
ip	2	4	https://raw.githubusercontent.com/ServerChef/serverchef-system-helpers/master/swagger/api.yaml
jwt token	2	2	https://raw.githubusercontent.com/cmatcham/healthy-kids/master/documentation/api.json
key-value pairs	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
locale	2	16	http://learnifier.com/apidocs/learnifier.json
markdown	2	4	https://raw.githubusercontent.com/Welfenlab/tutor-student/master/src/swagger.yaml
md5	2	2	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Caio-Henrique-Menezes/master/easytrip/docs/ET_swagger.json
meta:email-address	2	7	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
meta:person-name	2	8	https://raw.githubusercontent.com/corenova/yang-swagger/master/swagger.yaml
miles	2	2	https://raw.githubusercontent.com/Tzinov15/SwaggerBank/master/demo/demoApi.yaml
milliseconds	2	17	https://raw.githubusercontent.com/gogithubalex/dmcFrontend/master/restapi/DMCInterfaceSwagger.yaml
n/a	2	2	https://raw.githubusercontent.com/wikimedia/mediawiki-services-ores/master/ores/wsgi/routes/v2/swagger.yaml
non-iso-duration	2	12	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-datalake-analytics/job/2015-11-01-preview/swagger/job.json
object	2	2	https://raw.githubusercontent.com/GorillaArm/adviewers-backend/master/storage/docs/api-docs.json
objectID	2	10	https://raw.githubusercontent.com/masterdessi2016/RestAPI/master/dist/api-docs.json
png	2	4	https://raw.githubusercontent.com/wikimedia/mediawiki-services-graphoid/master/spec.yaml
precision	2	2	https://raw.githubusercontent.com/SalesViewer/salesviewer-api/master/swagger/salesviewer-api.swagger.yaml
serialized json array of '#/definitions/Cursor'	2	2	https://raw.githubusercontent.com/zalando/nakadi-manual/master/docs/api-spec-oai/nakadi-oai-0.5.1.yaml
